roads,location,description
Pendera ,Cimwansa Road,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Ngwezi Road,Roma,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Nqwerere Road,Roma ,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Katima Mulilo,Cimwansa Area,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Zambezi,Roma,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Chainama,Olympia,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Njoka Road,Olympia Extension,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Katima Mulilo,Garden Market,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Kasangula ,Garden Site 3,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,Manda Hill,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,East Park,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,Arcades,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,Munali,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,Zesco,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4 Bars, 2 Stationary Shops, 1 Gas Station                                                        "
Great East Road,NorthMead,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4, Bars, 2 Stationary Shops, 1 Gas Station							"
Addis Ababa Drive ( Cecil Rhodes Drive),Manda Hill,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4, Bars, 2 Stationary Shops, 1 Gas Station							"
Cairo Road ( Front street),Lusaka Market,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4, Bars, 2 Stationary Shops, 1 Gas Station							"
Brentwood Drive (Central) (Rennie Road),,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4, Bars, 2 Stationary Shops, 1 Gas Station							"
Ben Bella Road( Williams Street),Willam Market,"6 Grocery Shops, 2 Barbershops, 4 Tuntemba, 6 Airtel/MTN Booths, 2 Butcheries, 4, Bars, 2 Stationary Shops, 1 Gas Station							"
Brentwood Drive ( East) (Prince George Road),East Park,In Progress
Commonwealth avenue ( Commonwealth avenue),,
Dar es Salaam place ( st Martins place),,
Freedom Way ( Stanley Road ),,
Haile Selasie avenue ( Queen Mary avenue),,
Heroes place ( st Patrick's place),,
Independence avenue -part- ( King George avenue),,
Independence avenue-part (The Ridgeway),,
Kalundwe Road ( Roberts Road),,
Katondo Road ( Rhodes Road),,
Lumumba Road ( Connaught Road),,
Nairobi place ( St George's place),,
Nkwazi Road ( Codrington Roa,,